Épisode 107/2200, Score: 252.0, Epsilon: 0.5849
Épisode 108/2200, Score: 273.0, Epsilon: 0.5820
Épisode 109/2200, Score: 210.0, Epsilon: 0.5790
Épisode 110/2200, Score: 231.0, Epsilon: 0.5762
Épisode 111/2200, Score: 231.0, Epsilon: 0.5733
Épisode 112/2200, Score: 336.0, Epsilon: 0.5704
Épisode 113/2200, Score: 189.0, Epsilon: 0.5676
Épisode 114/2200, Score: 399.0, Epsilon: 0.5647
Épisode 115/2200, Score: 420.0, Epsilon: 0.5619
Épisode 116/2200, Score: 336.0, Epsilon: 0.5591
Épisode 117/2200, Score: 420.0, Epsilon: 0.5563
Épisode 118/2200, Score: 273.0, Epsilon: 0.5535
Épisode 119/2200, Score: 315.0, Epsilon: 0.5507
Épisode 120/2200, Score: 210.0, Epsilon: 0.5480
Épisode 121/2200, Score: 273.0, Epsilon: 0.5452
Épisode 122/2200, Score: 357.0, Epsilon: 0.5425
Épisode 123/2200, Score: 189.0, Epsilon: 0.5398
Épisode 124/2200, Score: 294.0, Epsilon: 0.5371
Épisode 125/2200, Score: 294.0, Epsilon: 0.5344
Épisode 126/2200, Score: 273.0, Epsilon: 0.5318
Épisode 127/2200, Score: 252.0, Epsilon: 0.5291
Épisode 128/2200, Score: 273.0, Epsilon: 0.5264
Épisode 129/2200, Score: 294.0, Epsilon: 0.5238
Épisode 130/2200, Score: 336.0, Epsilon: 0.5212
Épisode 131/2200, Score: 210.0, Epsilon: 0.5186
Épisode 132/2200, Score: 189.0, Epsilon: 0.5160
Épisode 133/2200, Score: 252.0, Epsilon: 0.5134
Épisode 134/2200, Score: 294.0, Epsilon: 0.5108
Épisode 135/2200, Score: 210.0, Epsilon: 0.5083
Épisode 136/2200, Score: 189.0, Epsilon: 0.5058
Épisode 137/2200, Score: 189.0, Epsilon: 0.5032
Épisode 138/2200, Score: 189.0, Epsilon: 0.5007
Épisode 139/2200, Score: 252.0, Epsilon: 0.4982
Épisode 140/2200, Score: 357.0, Epsilon: 0.4957
Épisode 141/2200, Score: 189.0, Epsilon: 0.4932
Épisode 142/2200, Score: 273.0, Epsilon: 0.4908
Épisode 143/2200, Score: 273.0, Epsilon: 0.4883
Épisode 144/2200, Score: 294.0, Epsilon: 0.4859
Épisode 145/2200, Score: 357.0, Epsilon: 0.4834
Épisode 146/2200, Score: 231.0, Epsilon: 0.4810
Épisode 147/2200, Score: 357.0, Epsilon: 0.4786
Épisode 148/2200, Score: 189.0, Epsilon: 0.4762
Épisode 149/2200, Score: 273.0, Epsilon: 0.4738
Épisode 150/2200, Score: 357.0, Epsilon: 0.4715
Épisode 151/2200, Score: 273.0, Epsilon: 0.4691
Épisode 152/2200, Score: 126.0, Epsilon: 0.4668
Épisode 153/2200, Score: 336.0, Epsilon: 0.4644
Épisode 154/2200, Score: 210.0, Epsilon: 0.4621
Épisode 155/2200, Score: 420.0, Epsilon: 0.4598
Épisode 156/2200, Score: 378.0, Epsilon: 0.4575
Épisode 157/2200, Score: 273.0, Epsilon: 0.4552
Épisode 158/2200, Score: 294.0, Epsilon: 0.4529
Épisode 159/2200, Score: 399.0, Epsilon: 0.4507
Épisode 160/2200, Score: 294.0, Epsilon: 0.4484
Épisode 161/2200, Score: 210.0, Epsilon: 0.4462
Épisode 162/2200, Score: 294.0, Epsilon: 0.4440
Épisode 163/2200, Score: 210.0, Epsilon: 0.4417
Épisode 164/2200, Score: 420.0, Epsilon: 0.4395
Épisode 165/2200, Score: 441.0, Epsilon: 0.4373
Épisode 166/2200, Score: 168.0, Epsilon: 0.4351
Épisode 167/2200, Score: 189.0, Epsilon: 0.4330
Épisode 168/2200, Score: 189.0, Epsilon: 0.4308
Épisode 169/2200, Score: 357.0, Epsilon: 0.4286
Épisode 170/2200, Score: 273.0, Epsilon: 0.4265
Épisode 171/2200, Score: 378.0, Epsilon: 0.4244
Épisode 172/2200, Score: 252.0, Epsilon: 0.4223
Épisode 173/2200, Score: 294.0, Epsilon: 0.4201
Épisode 174/2200, Score: 336.0, Epsilon: 0.4180
Épisode 175/2200, Score: 294.0, Epsilon: 0.4159
Épisode 176/2200, Score: 252.0, Epsilon: 0.4139
Épisode 177/2200, Score: 231.0, Epsilon: 0.4118
Épisode 178/2200, Score: 252.0, Epsilon: 0.4097
Épisode 179/2200, Score: 315.0, Epsilon: 0.4077
Épisode 180/2200, Score: 336.0, Epsilon: 0.4057
Épisode 181/2200, Score: 357.0, Epsilon: 0.4036
Épisode 182/2200, Score: 210.0, Epsilon: 0.4016
Épisode 183/2200, Score: 273.0, Epsilon: 0.3996
Épisode 184/2200, Score: 336.0, Epsilon: 0.3976
Épisode 185/2200, Score: 168.0, Epsilon: 0.3956
Épisode 186/2200, Score: 210.0, Epsilon: 0.3936
Épisode 187/2200, Score: 189.0, Epsilon: 0.3917
Épisode 188/2200, Score: 147.0, Epsilon: 0.3897
Épisode 189/2200, Score: 252.0, Epsilon: 0.3878
Épisode 190/2200, Score: 357.0, Epsilon: 0.3858
Épisode 191/2200, Score: 252.0, Epsilon: 0.3839
Épisode 192/2200, Score: 378.0, Epsilon: 0.3820
Épisode 193/2200, Score: 357.0, Epsilon: 0.3801
Épisode 194/2200, Score: 315.0, Epsilon: 0.3782
Épisode 195/2200, Score: 399.0, Epsilon: 0.3763
Épisode 196/2200, Score: 315.0, Epsilon: 0.3744
Épisode 197/2200, Score: 357.0, Epsilon: 0.3725
Épisode 198/2200, Score: 273.0, Epsilon: 0.3707
Épisode 199/2200, Score: 147.0, Epsilon: 0.3688
Épisode 200/2200, Score: 231.0, Epsilon: 0.3670
Épisode 201/2200, Score: 294.0, Epsilon: 0.3651
Épisode 202/2200, Score: 378.0, Epsilon: 0.3633
Épisode 203/2200, Score: 210.0, Epsilon: 0.3615
Épisode 204/2200, Score: 336.0, Epsilon: 0.3597
Épisode 205/2200, Score: 504.0, Epsilon: 0.3579
Épisode 206/2200, Score: 441.0, Epsilon: 0.3561
Épisode 207/2200, Score: 315.0, Epsilon: 0.3543
Épisode 208/2200, Score: 336.0, Epsilon: 0.3525
Épisode 209/2200, Score: 210.0, Epsilon: 0.3508
Épisode 210/2200, Score: 357.0, Epsilon: 0.3490
Épisode 211/2200, Score: 399.0, Epsilon: 0.3473
Épisode 212/2200, Score: 336.0, Epsilon: 0.3455
Épisode 213/2200, Score: 273.0, Epsilon: 0.3438
Épisode 214/2200, Score: 189.0, Epsilon: 0.3421
Épisode 215/2200, Score: 294.0, Epsilon: 0.3404
Épisode 216/2200, Score: 168.0, Epsilon: 0.3387
Épisode 217/2200, Score: 273.0, Epsilon: 0.3370
Épisode 218/2200, Score: 441.0, Epsilon: 0.3353
Épisode 219/2200, Score: 357.0, Epsilon: 0.3336
Épisode 220/2200, Score: 252.0, Epsilon: 0.3320
Épisode 221/2200, Score: 273.0, Epsilon: 0.3303
Épisode 222/2200, Score: 315.0, Epsilon: 0.3286
Épisode 223/2200, Score: 483.0, Epsilon: 0.3270
Épisode 224/2200, Score: 399.0, Epsilon: 0.3254
Épisode 225/2200, Score: 294.0, Epsilon: 0.3237
Épisode 226/2200, Score: 315.0, Epsilon: 0.3221
Épisode 227/2200, Score: 294.0, Epsilon: 0.3205
Épisode 228/2200, Score: 210.0, Epsilon: 0.3189
Épisode 229/2200, Score: 231.0, Epsilon: 0.3173
Épisode 230/2200, Score: 189.0, Epsilon: 0.3157
Épisode 231/2200, Score: 231.0, Epsilon: 0.3141
Épisode 232/2200, Score: 231.0, Epsilon: 0.3126
Épisode 233/2200, Score: 189.0, Epsilon: 0.3110
Épisode 234/2200, Score: 294.0, Epsilon: 0.3095
Épisode 235/2200, Score: 273.0, Epsilon: 0.3079
Épisode 236/2200, Score: 357.0, Epsilon: 0.3064
Épisode 237/2200, Score: 231.0, Epsilon: 0.3048
Épisode 238/2200, Score: 168.0, Epsilon: 0.3033
Épisode 239/2200, Score: 252.0, Epsilon: 0.3018
Épisode 240/2200, Score: 315.0, Epsilon: 0.3003
Épisode 241/2200, Score: 399.0, Epsilon: 0.2988
Épisode 242/2200, Score: 378.0, Epsilon: 0.2973
Épisode 243/2200, Score: 315.0, Epsilon: 0.2958
Épisode 244/2200, Score: 252.0, Epsilon: 0.2943
Épisode 245/2200, Score: 273.0, Epsilon: 0.2929
Épisode 246/2200, Score: 168.0, Epsilon: 0.2914
Épisode 247/2200, Score: 189.0, Epsilon: 0.2899
Épisode 248/2200, Score: 420.0, Epsilon: 0.2885
Épisode 249/2200, Score: 336.0, Epsilon: 0.2870
Épisode 250/2200, Score: 189.0, Epsilon: 0.2856
Épisode 251/2200, Score: 420.0, Epsilon: 0.2842
Épisode 252/2200, Score: 231.0, Epsilon: 0.2828
Épisode 253/2200, Score: 378.0, Epsilon: 0.2813
Épisode 254/2200, Score: 294.0, Epsilon: 0.2799
Épisode 255/2200, Score: 315.0, Epsilon: 0.2785
Épisode 256/2200, Score: 315.0, Epsilon: 0.2771
Épisode 257/2200, Score: 273.0, Epsilon: 0.2758
Épisode 258/2200, Score: 210.0, Epsilon: 0.2744
Épisode 259/2200, Score: 420.0, Epsilon: 0.2730
Épisode 260/2200, Score: 399.0, Epsilon: 0.2716
Épisode 261/2200, Score: 336.0, Epsilon: 0.2703
Épisode 262/2200, Score: 483.0, Epsilon: 0.2689
Épisode 263/2200, Score: 231.0, Epsilon: 0.2676
Épisode 264/2200, Score: 336.0, Epsilon: 0.2663
Épisode 265/2200, Score: 336.0, Epsilon: 0.2649
Épisode 266/2200, Score: 294.0, Epsilon: 0.2636
Épisode 267/2200, Score: 378.0, Epsilon: 0.2623
Épisode 268/2200, Score: 252.0, Epsilon: 0.2610
Épisode 269/2200, Score: 378.0, Epsilon: 0.2597
Épisode 270/2200, Score: 357.0, Epsilon: 0.2584
Épisode 271/2200, Score: 252.0, Epsilon: 0.2571
Épisode 272/2200, Score: 378.0, Epsilon: 0.2558
Épisode 273/2200, Score: 273.0, Epsilon: 0.2545
Épisode 274/2200, Score: 336.0, Epsilon: 0.2532
Épisode 275/2200, Score: 252.0, Epsilon: 0.2520
Épisode 276/2200, Score: 336.0, Epsilon: 0.2507
Épisode 277/2200, Score: 315.0, Epsilon: 0.2495
Épisode 278/2200, Score: 189.0, Epsilon: 0.2482
Épisode 279/2200, Score: 189.0, Epsilon: 0.2470
Épisode 280/2200, Score: 462.0, Epsilon: 0.2457
Épisode 281/2200, Score: 357.0, Epsilon: 0.2445
Épisode 282/2200, Score: 189.0, Epsilon: 0.2433
Épisode 283/2200, Score: 399.0, Epsilon: 0.2421
Épisode 284/2200, Score: 189.0, Epsilon: 0.2409
Épisode 285/2200, Score: 378.0, Epsilon: 0.2397
Épisode 286/2200, Score: 231.0, Epsilon: 0.2385
Épisode 287/2200, Score: 315.0, Epsilon: 0.2373
Épisode 288/2200, Score: 210.0, Epsilon: 0.2361
Épisode 289/2200, Score: 168.0, Epsilon: 0.2349
Épisode 290/2200, Score: 189.0, Epsilon: 0.2337
Épisode 291/2200, Score: 252.0, Epsilon: 0.2326
Épisode 292/2200, Score: 168.0, Epsilon: 0.2314
Épisode 293/2200, Score: 252.0, Epsilon: 0.2302
Épisode 294/2200, Score: 294.0, Epsilon: 0.2291
Épisode 295/2200, Score: 504.0, Epsilon: 0.2279
