Épisode 107/5000, Score: 189.0, Epsilon: 0.5849
Épisode 108/5000, Score: 210.0, Epsilon: 0.5820
Épisode 109/5000, Score: 273.0, Epsilon: 0.5790
Épisode 110/5000, Score: 231.0, Epsilon: 0.5762
Épisode 111/5000, Score: 210.0, Epsilon: 0.5733
Épisode 112/5000, Score: 420.0, Epsilon: 0.5704
Épisode 113/5000, Score: 252.0, Epsilon: 0.5676
Épisode 114/5000, Score: 189.0, Epsilon: 0.5647
Épisode 115/5000, Score: 294.0, Epsilon: 0.5619
Épisode 116/5000, Score: 168.0, Epsilon: 0.5591
Épisode 117/5000, Score: 168.0, Epsilon: 0.5563
Épisode 118/5000, Score: 231.0, Epsilon: 0.5535
Épisode 119/5000, Score: 315.0, Epsilon: 0.5507
Épisode 120/5000, Score: 378.0, Epsilon: 0.5480
Épisode 121/5000, Score: 336.0, Epsilon: 0.5452
Épisode 122/5000, Score: 168.0, Epsilon: 0.5425
Épisode 123/5000, Score: 210.0, Epsilon: 0.5398
Épisode 124/5000, Score: 147.0, Epsilon: 0.5371
Épisode 125/5000, Score: 315.0, Epsilon: 0.5344
Épisode 126/5000, Score: 189.0, Epsilon: 0.5318
Épisode 127/5000, Score: 210.0, Epsilon: 0.5291
Épisode 128/5000, Score: 273.0, Epsilon: 0.5264
Épisode 129/5000, Score: 231.0, Epsilon: 0.5238
Épisode 130/5000, Score: 105.0, Epsilon: 0.5212
Épisode 131/5000, Score: 189.0, Epsilon: 0.5186
Épisode 132/5000, Score: 252.0, Epsilon: 0.5160
Épisode 133/5000, Score: 147.0, Epsilon: 0.5134
Épisode 134/5000, Score: 189.0, Epsilon: 0.5108
Épisode 135/5000, Score: 336.0, Epsilon: 0.5083
Épisode 136/5000, Score: 357.0, Epsilon: 0.5058
Épisode 137/5000, Score: 168.0, Epsilon: 0.5032
Épisode 138/5000, Score: 189.0, Epsilon: 0.5007
Épisode 139/5000, Score: 231.0, Epsilon: 0.4982
Épisode 140/5000, Score: 189.0, Epsilon: 0.4957
Épisode 141/5000, Score: 168.0, Epsilon: 0.4932
Épisode 142/5000, Score: 126.0, Epsilon: 0.4908
Épisode 143/5000, Score: 231.0, Epsilon: 0.4883
Épisode 144/5000, Score: 189.0, Epsilon: 0.4859
Épisode 145/5000, Score: 168.0, Epsilon: 0.4834
Épisode 146/5000, Score: 189.0, Epsilon: 0.4810
Épisode 147/5000, Score: 189.0, Epsilon: 0.4786
Épisode 148/5000, Score: 273.0, Epsilon: 0.4762
Épisode 149/5000, Score: 189.0, Epsilon: 0.4738
Épisode 150/5000, Score: 168.0, Epsilon: 0.4715
Épisode 151/5000, Score: 273.0, Epsilon: 0.4691
Épisode 152/5000, Score: 252.0, Epsilon: 0.4668
Épisode 153/5000, Score: 189.0, Epsilon: 0.4644
Épisode 154/5000, Score: 126.0, Epsilon: 0.4621
Épisode 155/5000, Score: 273.0, Epsilon: 0.4598
Épisode 156/5000, Score: 294.0, Epsilon: 0.4575
Épisode 157/5000, Score: 378.0, Epsilon: 0.4552
Épisode 158/5000, Score: 189.0, Epsilon: 0.4529
Épisode 159/5000, Score: 210.0, Epsilon: 0.4507
Épisode 160/5000, Score: 231.0, Epsilon: 0.4484
Épisode 161/5000, Score: 105.0, Epsilon: 0.4462
Épisode 162/5000, Score: 147.0, Epsilon: 0.4440
Épisode 163/5000, Score: 189.0, Epsilon: 0.4417
Épisode 164/5000, Score: 168.0, Epsilon: 0.4395
Épisode 165/5000, Score: 189.0, Epsilon: 0.4373
Épisode 166/5000, Score: 252.0, Epsilon: 0.4351
Épisode 167/5000, Score: 252.0, Epsilon: 0.4330
Épisode 168/5000, Score: 231.0, Epsilon: 0.4308
Épisode 169/5000, Score: 231.0, Epsilon: 0.4286
Épisode 170/5000, Score: 189.0, Epsilon: 0.4265
Épisode 171/5000, Score: 168.0, Epsilon: 0.4244
Épisode 172/5000, Score: 273.0, Epsilon: 0.4223
Épisode 173/5000, Score: 168.0, Epsilon: 0.4201
Épisode 174/5000, Score: 189.0, Epsilon: 0.4180
Épisode 175/5000, Score: 147.0, Epsilon: 0.4159
Épisode 176/5000, Score: 126.0, Epsilon: 0.4139
Épisode 177/5000, Score: 294.0, Epsilon: 0.4118
Épisode 178/5000, Score: 63.0, Epsilon: 0.4097
Épisode 179/5000, Score: 147.0, Epsilon: 0.4077
Épisode 180/5000, Score: 189.0, Epsilon: 0.4057
Épisode 181/5000, Score: 273.0, Epsilon: 0.4036
Épisode 182/5000, Score: 210.0, Epsilon: 0.4016
Épisode 183/5000, Score: 105.0, Epsilon: 0.3996
Épisode 184/5000, Score: 252.0, Epsilon: 0.3976
Épisode 185/5000, Score: 315.0, Epsilon: 0.3956
Épisode 186/5000, Score: 189.0, Epsilon: 0.3936
Épisode 187/5000, Score: 105.0, Epsilon: 0.3917
Épisode 188/5000, Score: 189.0, Epsilon: 0.3897
Épisode 189/5000, Score: 231.0, Epsilon: 0.3878
Épisode 190/5000, Score: 105.0, Epsilon: 0.3858
Épisode 191/5000, Score: 189.0, Epsilon: 0.3839
Épisode 192/5000, Score: 252.0, Epsilon: 0.3820
Épisode 193/5000, Score: 210.0, Epsilon: 0.3801
Épisode 194/5000, Score: 231.0, Epsilon: 0.3782
Épisode 195/5000, Score: 147.0, Epsilon: 0.3763
Épisode 196/5000, Score: 147.0, Epsilon: 0.3744
Épisode 197/5000, Score: 84.0, Epsilon: 0.3725
Épisode 198/5000, Score: 189.0, Epsilon: 0.3707
Épisode 199/5000, Score: 147.0, Epsilon: 0.3688
Épisode 200/5000, Score: 252.0, Epsilon: 0.3670
Épisode 201/5000, Score: 189.0, Epsilon: 0.3651
Épisode 202/5000, Score: 168.0, Epsilon: 0.3633
Épisode 203/5000, Score: 189.0, Epsilon: 0.3615
Épisode 204/5000, Score: 210.0, Epsilon: 0.3597
Épisode 205/5000, Score: 147.0, Epsilon: 0.3579
Épisode 206/5000, Score: 168.0, Epsilon: 0.3561
Épisode 207/5000, Score: 63.0, Epsilon: 0.3543
Épisode 208/5000, Score: 126.0, Epsilon: 0.3525
Épisode 209/5000, Score: 252.0, Epsilon: 0.3508
Épisode 210/5000, Score: 126.0, Epsilon: 0.3490
Épisode 211/5000, Score: 147.0, Epsilon: 0.3473
Épisode 212/5000, Score: 168.0, Epsilon: 0.3455
Épisode 213/5000, Score: 189.0, Epsilon: 0.3438
Épisode 214/5000, Score: 294.0, Epsilon: 0.3421
Épisode 215/5000, Score: 168.0, Epsilon: 0.3404
Épisode 216/5000, Score: 84.0, Epsilon: 0.3387
Épisode 217/5000, Score: 189.0, Epsilon: 0.3370
