Episode108/2500Reward:420.0, Epsilon :0.5819594443402982
Episode109/2500Reward:462.0, Epsilon :0.5790496471185967
Episode110/2500Reward:357.0, Epsilon :0.5761543988830038
Episode111/2500Reward:441.0, Epsilon :0.5732736268885887
Episode112/2500Reward:441.0, Epsilon :0.5704072587541458
Episode113/2500Reward:567.0, Epsilon :0.567555222460375
Episode114/2500Reward:420.0, Epsilon :0.5647174463480732
Episode115/2500Reward:504.0, Epsilon :0.5618938591163328
Episode116/2500Reward:567.0, Epsilon :0.5590843898207511
Episode117/2500Reward:672.0, Epsilon :0.5562889678716474
Episode118/2500Reward:546.0, Epsilon :0.5535075230322891
Episode119/2500Reward:609.0, Epsilon :0.5507399854171277
Episode120/2500Reward:378.0, Epsilon :0.547986285490042
Episode121/2500Reward:420.0, Epsilon :0.5452463540625918
Episode122/2500Reward:357.0, Epsilon :0.5425201222922789
Episode123/2500Reward:441.0, Epsilon :0.5398075216808175
Episode124/2500Reward:567.0, Epsilon :0.5371084840724134
Episode125/2500Reward:546.0, Epsilon :0.5344229416520513
Episode126/2500Reward:462.0, Epsilon :0.531750826943791
Episode127/2500Reward:567.0, Epsilon :0.5290920728090721
Episode128/2500Reward:588.0, Epsilon :0.5264466124450268
Episode129/2500Reward:336.0, Epsilon :0.5238143793828016
Episode130/2500Reward:420.0, Epsilon :0.5211953074858876
Episode131/2500Reward:483.0, Epsilon :0.5185893309484582
Episode132/2500Reward:525.0, Epsilon :0.5159963842937159
Episode133/2500Reward:525.0, Epsilon :0.5134164023722473
Episode134/2500Reward:462.0, Epsilon :0.510849320360386
Episode135/2500Reward:357.0, Epsilon :0.5082950737585841
Episode136/2500Reward:420.0, Epsilon :0.5057535983897912
Episode137/2500Reward:357.0, Epsilon :0.5032248303978422
Episode138/2500Reward:525.0, Epsilon :0.500708706245853
Episode139/2500Reward:630.0, Epsilon :0.4982051627146237
Episode140/2500Reward:441.0, Epsilon :0.49571413690105054
Episode141/2500Reward:525.0, Epsilon :0.4932355662165453
Episode142/2500Reward:462.0, Epsilon :0.4907693883854626
Episode143/2500Reward:546.0, Epsilon :0.4883155414435353
Episode144/2500Reward:504.0, Epsilon :0.4858739637363176
Episode145/2500Reward:630.0, Epsilon :0.483444593917636
Episode146/2500Reward:462.0, Epsilon :0.4810273709480478
Episode147/2500Reward:745.0, Epsilon :0.47862223409330756
Episode148/2500Reward:525.0, Epsilon :0.47622912292284103
Episode149/2500Reward:441.0, Epsilon :0.4738479773082268
Episode150/2500Reward:672.0, Epsilon :0.47147873742168567
Episode151/2500Reward:420.0, Epsilon :0.46912134373457726
Episode152/2500Reward:630.0, Epsilon :0.46677573701590436
Episode153/2500Reward:609.0, Epsilon :0.46444185833082485
Episode154/2500Reward:546.0, Epsilon :0.46211964903917074
Episode155/2500Reward:703.0, Epsilon :0.4598090507939749
Episode156/2500Reward:609.0, Epsilon :0.457510005540005
Episode157/2500Reward:483.0, Epsilon :0.45522245551230495
