Épisode 94/7000, Score: 189.0, Epsilon: 0.6243
Épisode 95/7000, Score: 84.0, Epsilon: 0.6211
Épisode 96/7000, Score: 210.0, Epsilon: 0.6180
Épisode 97/7000, Score: 189.0, Epsilon: 0.6149
Épisode 98/7000, Score: 399.0, Epsilon: 0.6119
Épisode 99/7000, Score: 336.0, Epsilon: 0.6088
Épisode 100/7000, Score: 315.0, Epsilon: 0.6058
Épisode 101/7000, Score: 336.0, Epsilon: 0.6027
Épisode 102/7000, Score: 231.0, Epsilon: 0.5997
Épisode 103/7000, Score: 189.0, Epsilon: 0.5967
Épisode 104/7000, Score: 273.0, Epsilon: 0.5937
Épisode 105/7000, Score: 294.0, Epsilon: 0.5908
Épisode 106/7000, Score: 378.0, Epsilon: 0.5878
Épisode 107/7000, Score: 252.0, Epsilon: 0.5849
Épisode 108/7000, Score: 315.0, Epsilon: 0.5820
Épisode 109/7000, Score: 189.0, Epsilon: 0.5790
Épisode 110/7000, Score: 210.0, Epsilon: 0.5762
Épisode 111/7000, Score: 273.0, Epsilon: 0.5733
Épisode 112/7000, Score: 399.0, Epsilon: 0.5704
Épisode 113/7000, Score: 315.0, Epsilon: 0.5676
Épisode 114/7000, Score: 273.0, Epsilon: 0.5647
Épisode 115/7000, Score: 252.0, Epsilon: 0.5619
Épisode 116/7000, Score: 63.0, Epsilon: 0.5591
Épisode 117/7000, Score: 189.0, Epsilon: 0.5563
Épisode 118/7000, Score: 189.0, Epsilon: 0.5535
Épisode 119/7000, Score: 189.0, Epsilon: 0.5507
Épisode 120/7000, Score: 252.0, Epsilon: 0.5480
Épisode 121/7000, Score: 231.0, Epsilon: 0.5452
Épisode 122/7000, Score: 294.0, Epsilon: 0.5425
Épisode 123/7000, Score: 210.0, Epsilon: 0.5398
Épisode 124/7000, Score: 336.0, Epsilon: 0.5371
Épisode 125/7000, Score: 126.0, Epsilon: 0.5344
Épisode 126/7000, Score: 357.0, Epsilon: 0.5318
Épisode 127/7000, Score: 273.0, Epsilon: 0.5291
Épisode 128/7000, Score: 147.0, Epsilon: 0.5264
Épisode 129/7000, Score: 189.0, Epsilon: 0.5238
Épisode 130/7000, Score: 336.0, Epsilon: 0.5212
Épisode 131/7000, Score: 189.0, Epsilon: 0.5186
Épisode 132/7000, Score: 252.0, Epsilon: 0.5160
Épisode 133/7000, Score: 84.0, Epsilon: 0.5134
Épisode 134/7000, Score: 210.0, Epsilon: 0.5108
Épisode 135/7000, Score: 315.0, Epsilon: 0.5083
Épisode 136/7000, Score: 231.0, Epsilon: 0.5058
Épisode 137/7000, Score: 189.0, Epsilon: 0.5032
Épisode 138/7000, Score: 336.0, Epsilon: 0.5007
Épisode 139/7000, Score: 483.0, Epsilon: 0.4982
Épisode 140/7000, Score: 168.0, Epsilon: 0.4957
Épisode 141/7000, Score: 252.0, Epsilon: 0.4932
Épisode 142/7000, Score: 420.0, Epsilon: 0.4908
Épisode 143/7000, Score: 273.0, Epsilon: 0.4883
Épisode 144/7000, Score: 273.0, Epsilon: 0.4859
Épisode 145/7000, Score: 252.0, Epsilon: 0.4834
Épisode 146/7000, Score: 273.0, Epsilon: 0.4810
Épisode 147/7000, Score: 189.0, Epsilon: 0.4786
Épisode 148/7000, Score: 357.0, Epsilon: 0.4762
Épisode 149/7000, Score: 294.0, Epsilon: 0.4738
Épisode 150/7000, Score: 189.0, Epsilon: 0.4715
Épisode 151/7000, Score: 336.0, Epsilon: 0.4691
Épisode 152/7000, Score: 168.0, Epsilon: 0.4668
Épisode 153/7000, Score: 315.0, Epsilon: 0.4644
Épisode 154/7000, Score: 399.0, Epsilon: 0.4621
Épisode 155/7000, Score: 210.0, Epsilon: 0.4598
Épisode 156/7000, Score: 399.0, Epsilon: 0.4575
Épisode 157/7000, Score: 189.0, Epsilon: 0.4552
Épisode 158/7000, Score: 252.0, Epsilon: 0.4529
Épisode 159/7000, Score: 294.0, Epsilon: 0.4507
Épisode 160/7000, Score: 315.0, Epsilon: 0.4484
Épisode 161/7000, Score: 294.0, Epsilon: 0.4462
Épisode 162/7000, Score: 273.0, Epsilon: 0.4440
Épisode 163/7000, Score: 420.0, Epsilon: 0.4417
Épisode 164/7000, Score: 399.0, Epsilon: 0.4395
Épisode 165/7000, Score: 273.0, Epsilon: 0.4373
Épisode 166/7000, Score: 483.0, Epsilon: 0.4351
Épisode 167/7000, Score: 231.0, Epsilon: 0.4330
Épisode 168/7000, Score: 273.0, Epsilon: 0.4308
Épisode 169/7000, Score: 252.0, Epsilon: 0.4286
Épisode 170/7000, Score: 189.0, Epsilon: 0.4265
Épisode 171/7000, Score: 315.0, Epsilon: 0.4244
Épisode 172/7000, Score: 378.0, Epsilon: 0.4223
Épisode 173/7000, Score: 252.0, Epsilon: 0.4201
Épisode 174/7000, Score: 357.0, Epsilon: 0.4180
Épisode 175/7000, Score: 189.0, Epsilon: 0.4159
Épisode 176/7000, Score: 189.0, Epsilon: 0.4139
Épisode 177/7000, Score: 315.0, Epsilon: 0.4118
Épisode 178/7000, Score: 273.0, Epsilon: 0.4097
Épisode 179/7000, Score: 378.0, Epsilon: 0.4077
Épisode 180/7000, Score: 189.0, Epsilon: 0.4057
Épisode 181/7000, Score: 189.0, Epsilon: 0.4036
Épisode 182/7000, Score: 189.0, Epsilon: 0.4016
Épisode 183/7000, Score: 357.0, Epsilon: 0.3996
Épisode 184/7000, Score: 273.0, Epsilon: 0.3976
Épisode 185/7000, Score: 189.0, Epsilon: 0.3956
Épisode 186/7000, Score: 378.0, Epsilon: 0.3936
Épisode 187/7000, Score: 231.0, Epsilon: 0.3917
Épisode 188/7000, Score: 147.0, Epsilon: 0.3897
Épisode 189/7000, Score: 378.0, Epsilon: 0.3878
Épisode 190/7000, Score: 189.0, Epsilon: 0.3858
Épisode 191/7000, Score: 168.0, Epsilon: 0.3839
Épisode 192/7000, Score: 294.0, Epsilon: 0.3820
Épisode 193/7000, Score: 231.0, Epsilon: 0.3801
Épisode 194/7000, Score: 189.0, Epsilon: 0.3782
Épisode 195/7000, Score: 336.0, Epsilon: 0.3763
Épisode 196/7000, Score: 252.0, Epsilon: 0.3744
Épisode 197/7000, Score: 210.0, Epsilon: 0.3725
Épisode 198/7000, Score: 231.0, Epsilon: 0.3707
Épisode 199/7000, Score: 273.0, Epsilon: 0.3688
